"brth_yr","gndr","ethcty","nm","cnt","rnk"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Chloe","71","1"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Olivia","71","1"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Emma","66","2"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Mia","59","3"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Ava","53","4"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Amelia","46","5"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Evelyn","44","6"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Sophia","43","7"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Aria","42","8"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Emily","39","9"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Charlotte","36","10"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Ella","34","11"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Zoey","34","11"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Hannah","34","11"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Luna","33","12"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Bella","33","12"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Maya","31","13"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Audrey","31","13"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Iris","29","14"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Maryam","29","14"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Ayesha","28","15"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Grace","27","16"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Hailey","27","16"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Ellie","26","17"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Tenzin","26","17"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Arya","26","17"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Zoe","26","17"
"2021","FEMALE","ASIAN AND PACIFIC ISLANDER","Zara","25","18"
